Font Filename,Assigned Category,Closest Visual Match,Distance Score
PTSerif.ttf,Elegant Serif,ANCHOR (Self),0.0
WorkSans.ttf,Professional Sans,ANCHOR (Self),0.0
Fraunces.ttf,Elegant Serif,ANCHOR (Self),0.0
ZillaSlab.ttf,Slab Serif,ANCHOR (Self),0.0
Anton.ttf,Display & Stylized,ANCHOR (Self),0.0
BebasNeue.ttf,Display & Stylized,ANCHOR (Self),0.0
RobotoMono.ttf,Monospace,ANCHOR (Self),0.0
RobotoSlab.ttf,Slab Serif,ANCHOR (Self),0.0
Righteous.ttf,Display & Stylized,ANCHOR (Self),0.0
Ubuntu.ttf,Professional Sans,ANCHOR (Self),0.0
Heebo.ttf,Professional Sans,ANCHOR (Self),0.0
DMSans.ttf,Professional Sans,ANCHOR (Self),0.0
AbrilFatface.ttf,Display & Stylized,ANCHOR (Self),0.0
Mulish.ttf,Professional Sans,ANCHOR (Self),0.0
Poppins.ttf,Professional Sans,ANCHOR (Self),0.0
Orbitron.ttf,Display & Stylized,ANCHOR (Self),0.0
Merriweather.ttf,Elegant Serif,ANCHOR (Self),0.0
Arvo.ttf,Slab Serif,ANCHOR (Self),0.0
Inconsolata.ttf,Monospace,ANCHOR (Self),0.0
Prata.ttf,Elegant Serif,ANCHOR (Self),0.0
SpaceMono.ttf,Monospace,ANCHOR (Self),0.0
Spectral.ttf,Elegant Serif,ANCHOR (Self),0.0
LibreBaskerville.ttf,Elegant Serif,ANCHOR (Self),0.0
SourceCodePro.ttf,Monospace,ANCHOR (Self),0.0
Vollkorn.ttf,Elegant Serif,ANCHOR (Self),0.0
Roboto.ttf,Professional Sans,ANCHOR (Self),0.0
Lobster.ttf,Display & Stylized,ANCHOR (Self),0.0
Cardo.ttf,Elegant Serif,ANCHOR (Self),0.0
CrimsonText.ttf,Elegant Serif,ANCHOR (Self),0.0
GreatVibes.ttf,Handwriting & Script,ANCHOR (Self),0.0
Oswald.ttf,Slab Serif,ANCHOR (Self),0.0
Nunito.ttf,Professional Sans,ANCHOR (Self),0.0
Pacifico.ttf,Handwriting & Script,ANCHOR (Self),0.0
Lora.ttf,Elegant Serif,ANCHOR (Self),0.0
Bitter.ttf,Slab Serif,ANCHOR (Self),0.0
Domine.ttf,Elegant Serif,ANCHOR (Self),0.0
Inter.ttf,Professional Sans,ANCHOR (Self),0.0
IndieFlower.ttf,Handwriting & Script,ANCHOR (Self),0.0
Cinzel.ttf,Elegant Serif,ANCHOR (Self),0.0
Montserrat.ttf,Professional Sans,ANCHOR (Self),0.0
OpenSans.ttf,Professional Sans,ANCHOR (Self),0.0
Karla.ttf,Professional Sans,ANCHOR (Self),0.0
Raleway.ttf,Professional Sans,ANCHOR (Self),0.0
CormorantGaramond.ttf,Elegant Serif,ANCHOR (Self),0.0
ShadowsIntoLight.ttf,Handwriting & Script,ANCHOR (Self),0.0
EBGaramond.ttf,Elegant Serif,ANCHOR (Self),0.0
SourceSans3.ttf,Professional Sans,ANCHOR (Self),0.0
Caveat.ttf,Handwriting & Script,ANCHOR (Self),0.0
PlayfairDisplay.ttf,Elegant Serif,ANCHOR (Self),0.0
Lato.ttf,Professional Sans,ANCHOR (Self),0.0
